Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
22.11.16;83;83,3;83,49;82,58;1.962.034
21.11.16;81,16;82,37;82,93;80,67;2.004.221
18.11.16;81,1;81;81,93;80,42;1.728.801
17.11.16;80,54;80,42;81,57;79,7;1.433.849
16.11.16;81,51;80,74;81,67;79,75;1.387.781
15.11.16;81,12;81,53;81,73;80,48;1.290.580
14.11.16;80,78;80,88;82,54;80,54;2.549.250
11.11.16;76,83;80,11;80,15;76,82;3.100.893
10.11.16;77,59;76,78;77,72;76,1;2.030.338
09.11.16;73,51;76,84;76,95;73,4;3.870.661
08.11.16;77;77,31;77,5;75,97;1.631.926
07.11.16;77,1;77,2;77,37;76,53;1.578.469
04.11.16;73,95;75,46;75,72;73,58;2.173.379
03.11.16;75,3;75,23;76,28;75;1.437.285
02.11.16;77,59;75,4;77,59;75,2;2.420.080
01.11.16;79,8;78,32;79,99;78,05;1.165.792
31.10.16;80;79,37;80,24;78,93;1.253.884
28.10.16;79,37;80,17;80,3;78,34;1.150.215
27.10.16;80;79,92;80,54;79,5;1.311.206
26.10.16;79,4;80,07;80,37;79,15;1.235.956
25.10.16;79,87;79,63;80,38;79,45;962.293
24.10.16;79,01;79,59;80,1;79,01;1.364.786
21.10.16;79,14;78,63;79,19;77,97;1.600.932
20.10.16;78,6;79,17;79,67;78,09;1.777.144
19.10.16;77,1;78,02;78,59;76,52;1.566.405
18.10.16;76,86;77,01;77,24;76,02;1.395.534
17.10.16;76,72;76,34;76,94;75,89;1.073.588
14.10.16;75,79;76,84;77,55;75,71;1.787.777
13.10.16;76,34;75,94;76,55;75,28;1.688.240
12.10.16;77,66;77;78,03;76,72;1.195.629
11.10.16;78,05;77,66;78,75;77,45;1.419.536
10.10.16;77,43;78,09;78,39;76,83;1.360.853
07.10.16;78,3;77,41;78,33;76,84;1.794.688
06.10.16;78,3;78,3;78,69;77,86;1.405.848
05.10.16;76,65;78,18;78,39;75,98;1.831.075
04.10.16;76;77,29;77,68;75,79;2.802.839
30.09.16;72,38;74,81;75,13;72,02;2.422.227
29.09.16;74,49;73,7;75,06;73,45;1.296.793
28.09.16;73,51;73,68;74,49;73,41;1.184.285
27.09.16;74,29;73,18;74,44;72,03;1.668.855
26.09.16;75,06;73,73;75,13;73,4;1.924.227
23.09.16;76,25;75,59;76,47;75,33;1.056.154
22.09.16;75,15;76,28;76,96;74,92;1.961.060
21.09.16;74,76;74,36;75,27;74,27;1.202.665
20.09.16;73,96;74,09;74,48;73,72;1.062.279
19.09.16;74,05;73,97;74,64;73,81;1.231.305
16.09.16;75,25;73,42;75,5;73,22;2.855.151
15.09.16;74,91;75,3;75,67;74,14;1.294.409
14.09.16;75,64;75,1;75,77;74,61;1.371.437
13.09.16;76;75,41;76,32;74,95;1.305.666
12.09.16;75,5;75,58;75,9;74,6;2.043.200
09.09.16;77,31;76,93;77,85;76,54;1.184.648
08.09.16;78,42;77,44;78,52;76,14;2.131.834
07.09.16;77,76;78,24;78,85;76,96;1.206.012
06.09.16;78,62;77,55;78,62;77,24;1.218.090
05.09.16;78,97;78,24;79,06;78,24;843.916
02.09.16;78,37;78,57;78,77;76,66;1.593.828
01.09.16;78,27;77,93;79,8;77,55;1.480.375
31.08.16;78,38;78,01;79,28;78,01;1.314.066
30.08.16;77,44;78,46;78,56;77,11;1.213.735
29.08.16;76,71;76,88;77,23;76,07;708.241
26.08.16;76,1;77,23;77,29;75,82;1.476.195
25.08.16;76,8;76,22;76,84;75,6;1.490.961
24.08.16;77,25;77,51;78,03;76,69;971.047
23.08.16;77,39;77,48;77,97;76,73;1.038.967
22.08.16;77,4;76,95;78,45;76,52;1.165.052
19.08.16;78,02;77,32;78,19;76,47;1.852.903
18.08.16;79,1;78,84;79,25;78,39;892.046
17.08.16;79,68;78,55;79,93;78,02;1.036.483
16.08.16;79,91;79,49;80,08;78,95;1.233.620
15.08.16;79,87;80,5;80,88;79,65;855.474
12.08.16;80,23;79,63;80,45;79,44;1.002.134
11.08.16;80,71;80,37;81,2;79,13;1.470.743
10.08.16;79,86;80,19;80,69;79,4;1.417.259
09.08.16;77,91;80,29;80,48;77,64;2.012.005
08.08.16;78,5;77,63;78,98;77,29;1.226.634
05.08.16;76,16;77,92;78,01;76,05;1.438.771
04.08.16;76,24;75,84;77,61;75,57;1.576.490
03.08.16;75,39;75,81;75,81;73,73;1.883.969
02.08.16;78;75,41;78,2;74,75;2.513.576
01.08.16;78,44;77,13;78,68;76,54;1.492.129
29.07.16;76,59;77,05;77,12;76,39;1.458.689
28.07.16;78,38;75,97;78,5;75,97;2.356.433
27.07.16;77,64;78,36;78,8;77,51;1.971.401
26.07.16;76,14;76,78;77,34;75,73;1.222.808
25.07.16;75,72;76,14;77,37;75,08;1.393.923
22.07.16;75,56;75,5;76,17;75,1;948.378
21.07.16;75,7;75,98;76,53;74,96;1.434.406
20.07.16;74,19;75,39;75,73;73,39;1.710.237
19.07.16;74,75;73,58;74,96;72,68;1.960.174
18.07.16;74,9;74,91;76,03;74,33;1.405.594
15.07.16;74,5;74,66;75,17;73,79;1.606.795
14.07.16;74;74,74;75,22;73,72;2.234.020
13.07.16;73;72,98;75,22;72,62;2.527.306
12.07.16;70,62;73,31;73,67;70,59;2.946.321
11.07.16;69,25;70,04;70,55;68,82;1.858.795
08.07.16;65,45;68,44;68,9;65,3;2.670.354
07.07.16;65,59;65,6;67,12;65,43;1.804.498
06.07.16;64,9;65,1;65,22;63,38;2.701.771
05.07.16;66,33;65,21;66,44;64,99;2.097.336
04.07.16;68,34;66,79;68,38;66,41;1.716.922
01.07.16;66,27;67,79;68,48;66;2.544.873
30.06.16;65,98;65,79;66,25;64,98;2.450.555
29.06.16;66,42;65,88;67,52;65,55;2.732.408
28.06.16;67,69;65,83;68,16;65,56;2.686.898
27.06.16;68,24;65,67;68,78;65,01;3.713.125
24.06.16;66;68,66;70,61;66;8.608.707
23.06.16;72,53;74,25;74,39;72,26;2.227.283
22.06.16;73,19;72,47;73,64;72,47;1.460.882
21.06.16;72,3;72,64;73,16;71,73;1.694.363
20.06.16;71,18;72,24;72,52;71,05;2.039.189
17.06.16;69,07;68,97;69,9;68,69;2.500.473
16.06.16;67,59;68,3;68,48;67,11;1.985.538
15.06.16;68,45;68,56;70,1;67,95;2.198.059
14.06.16;68,79;67,6;69,1;67,45;2.282.134
13.06.16;70;69,34;70,21;68,84;2.088.180
10.06.16;71,4;70,7;71,56;70,1;1.957.367
09.06.16;72,89;71,84;72,97;71,38;1.395.811
08.06.16;73,68;73;74,04;72,71;1.138.227
07.06.16;72,73;73,83;74,05;72,54;1.386.706
06.06.16;72,43;72,24;73,23;71,86;864.789
03.06.16;74,5;72,27;74,58;71,59;1.905.975
02.06.16;73,72;74,05;74,41;73,16;1.311.682
01.06.16;75,92;73,93;75,96;73,55;1.920.236
31.05.16;76,01;75,89;76,37;74,79;2.144.111
30.05.16;75,49;75,76;76,12;75,25;686.324
27.05.16;75,53;75,16;75,59;74,57;1.348.277
26.05.16;73,89;75,45;75,81;73,86;2.067.667
25.05.16;73,27;73,86;74,21;72,82;2.025.847
24.05.16;70,7;72,14;72,35;70,05;2.170.646
23.05.16;71,95;70,82;71,97;70,51;1.654.356
20.05.16;71,2;71,7;71,9;70,94;1.889.879
19.05.16;70,86;70,66;71,88;69,94;2.372.266
18.05.16;71,11;70,99;71,65;70,51;2.053.563
17.05.16;74,76;71,56;74,88;70,99;2.952.708
13.05.16;72,85;73,77;73,94;72,25;2.570.526
12.05.16;76,71;75,72;77,34;75,39;2.708.165
11.05.16;78,06;76,9;78,4;76,6;1.307.035
10.05.16;77,53;78,01;78,25;77,16;1.783.410
09.05.16;76,73;76,52;77,35;75,82;1.624.828
06.05.16;75,48;75,69;76,06;74,41;2.446.801
05.05.16;76,69;75,53;76,69;75;1.480.636
04.05.16;78,05;76,45;78,43;76;2.096.952
03.05.16;79,92;78,03;79,92;77,77;3.093.464
02.05.16;81,32;81,12;82,73;80,99;1.531.004
29.04.16;83,21;80,5;84,07;80,5;2.252.489
28.04.16;82,93;83,94;84,15;81,89;1.766.563
27.04.16;82,9;83,36;83,65;82,62;1.214.112
26.04.16;82,3;82,6;83,63;82,28;1.400.989
25.04.16;83;81,94;83,29;81,87;2.338.947
22.04.16;81,83;82,78;83,62;81,26;2.129.746
21.04.16;84,4;84,15;85,07;83,26;1.823.710
20.04.16;82,48;84,02;84,46;81,99;1.922.678
19.04.16;81,04;83,07;83,2;80,91;2.054.926
18.04.16;78,27;80,41;80,86;77,8;1.869.912
15.04.16;79,01;78,37;79,18;77,62;1.495.738
14.04.16;78,4;79,2;79,2;78,1;1.718.337
13.04.16;76,95;78;78,77;76,48;2.267.654
12.04.16;75,12;75,35;75,64;73,94;1.320.701
11.04.16;74,34;74,79;75,6;73,66;1.165.326
08.04.16;74,06;74,3;75,35;74,06;1.284.426
07.04.16;75,4;73,85;75,5;73,3;1.708.302
06.04.16;75;75;75,19;73,56;1.659.586
05.04.16;76,1;74,63;76,19;74,6;2.052.746
04.04.16;77,64;77,54;78,44;76,57;1.766.999
01.04.16;79,6;78;79,73;77,26;2.215.091
31.03.16;82;80,7;82,22;80,63;1.537.700
30.03.16;80,84;82,11;82,87;80,53;1.457.943
29.03.16;79,58;80,45;80,75;79,43;1.243.995
24.03.16;80,82;79,58;80,98;79,24;1.506.755
23.03.16;81,98;81,06;82,75;80,41;1.279.003
22.03.16;80,5;81,38;81,56;79,4;1.478.225
21.03.16;80,9;81,2;82,56;80,35;1.357.408
18.03.16;81,15;81,58;81,99;80,56;2.973.056
17.03.16;83,5;81,02;83,5;79,12;2.512.867
16.03.16;80,01;82,63;83,51;80;3.191.563
15.03.16;80;79,56;80,67;78,81;1.565.677
14.03.16;80,01;80,23;81,35;79,57;2.004.485
11.03.16;77,11;78,72;79,34;76,76;2.289.482
10.03.16;78,8;75,42;81,75;75,36;3.855.851
09.03.16;79,78;78,54;81,95;77,5;4.328.693
08.03.16;80,63;80,02;81,71;79,09;1.861.677
07.03.16;82,25;81,87;82,96;80,62;1.192.838
04.03.16;81,67;82,63;83,3;80,9;1.715.750
03.03.16;80,88;81,15;81,93;80,05;1.571.274
02.03.16;78,96;80,43;80,52;78,85;1.998.270
01.03.16;75,27;78,31;78,61;75;2.189.791
29.02.16;73,05;75,15;75,37;72,61;1.726.466
26.02.16;72,45;73,89;74,79;72,22;1.568.411
25.02.16;71,12;71,3;71,98;70,01;1.353.706
24.02.16;73;70,2;73,21;68,94;2.313.335
23.02.16;74,51;73,14;74,87;72,94;1.294.713
22.02.16;74,93;75,2;75,76;74,81;1.274.010
19.02.16;74,65;73,83;75,36;73,24;1.632.695
18.02.16;76,15;75,35;76,64;74,2;1.585.166
17.02.16;73,3;75,39;75,89;73,15;1.660.922
16.02.16;74,1;72,82;74,49;72,14;1.885.957
15.02.16;72,59;73,08;73,95;71,98;2.120.795
12.02.16;68,13;70,26;70,79;67,39;2.671.779
11.02.16;68,32;67,18;68,46;66;2.124.925
10.02.16;68,23;69,08;70,17;67,64;2.283.727
09.02.16;69,41;67,83;69,7;66,86;2.402.454
08.02.16;72,76;69,3;73,28;69,04;2.041.244
05.02.16;71,6;72,41;73,85;71,18;1.967.856
04.02.16;72,11;71,49;72,49;69,38;3.232.030
03.02.16;73,4;72,7;74,81;71,5;2.686.190
02.02.16;75,22;74,03;75,4;73,69;1.593.641
01.02.16;76,89;75,47;77;74,23;2.236.348
29.01.16;78,84;76,66;78,9;75,72;2.448.748
28.01.16;79,18;77,62;80,59;77,3;1.860.762
27.01.16;79,13;79,96;79,96;78,04;1.239.918
26.01.16;77,35;79,4;80,12;76,19;1.560.186
25.01.16;80,31;78,92;80,31;78,34;1.448.731
22.01.16;80,52;79,71;80,96;79,59;1.988.186
21.01.16;76,4;78,7;79,33;75,99;2.139.284
20.01.16;76,3;76,77;77,3;75,46;2.233.135
19.01.16;80,2;78,86;80,33;78,5;1.797.236
18.01.16;77,98;78,1;79,7;76,77;1.434.581
15.01.16;79,64;78,02;80,82;76,58;3.031.976
14.01.16;82;80,11;82,11;78,06;3.759.382
13.01.16;86,26;82,89;86,64;82,1;2.155.809
12.01.16;83,6;84,85;86,5;83,27;1.766.974
11.01.16;83,11;83,14;85,59;82,88;1.832.479
08.01.16;86,16;83,44;87,14;83,41;1.969.156
07.01.16;85,3;85,44;86;83,52;2.812.427
06.01.16;91;88,78;91;87,14;2.301.978
05.01.16;93,42;91,82;93,5;90,63;1.533.191
04.01.16;94,71;92,25;94,71;91,76;2.376.296
30.12.15;98,5;97,63;98,5;97,57;431.934
29.12.15;98,16;98,56;98,99;97,6;565.467
28.12.15;98,88;97,35;99,08;97,1;372.209
23.12.15;97,95;98,55;99,08;97,62;886.473
22.12.15;96,34;96,35;97,23;94,74;1.142.643
21.12.15;96,38;95,5;99,36;95,5;1.325.708
18.12.15;97,6;96,71;98,52;96,03;2.791.328
17.12.15;98,24;98,72;99,49;98,15;2.218.039
16.12.15;95,29;95,49;96,6;94,48;1.530.588
15.12.15;92,74;94,69;95,5;92,74;1.490.529
14.12.15;94,08;91,9;95,08;91,57;1.680.614
11.12.15;97,15;94,11;97,2;93,24;2.035.528
10.12.15;96,2;97,27;97,98;96,15;1.018.605
09.12.15;97,4;97,14;98,47;95,85;1.243.850
08.12.15;100,3;97,2;100,35;96,07;1.404.543
07.12.15;99,21;99,99;101,45;98,94;1.028.514
04.12.15;97,91;98,17;99,11;96,4;1.888.066
03.12.15;102,3;98,34;104,15;97,41;2.783.841
02.12.15;103,7;102,65;103,85;101,9;1.258.909
01.12.15;103,6;103,3;104,85;103,15;1.498.201
30.11.15;101,4;103,3;104,1;101,15;1.758.637
27.11.15;100,25;101,5;102;99,93;1.085.280
26.11.15;99,5;100,85;101,65;99,45;1.257.150
25.11.15;97,48;99,5;99,52;96,24;1.210.034
24.11.15;98;96,76;98,68;96,16;1.388.239
23.11.15;98,97;98,45;99,28;98,16;1.009.608
20.11.15;99;99,17;99,59;98,61;1.538.165
19.11.15;97,9;98,73;99,36;97,74;1.389.820
18.11.15;96,91;97,45;97,94;96,42;928.612
17.11.15;95,71;97,26;97,59;95,27;1.374.915
16.11.15;93,28;94,71;95,48;93,28;1.018.574
13.11.15;94,2;94,54;95,79;93;1.435.459
12.11.15;95,74;94,46;95,76;93,64;1.544.659
11.11.15;95,89;96,18;97,01;95,54;1.498.093
10.11.15;95,49;95,93;96,11;94;1.260.190
09.11.15;96,23;94,96;97,24;94,8;1.590.171
06.11.15;92,78;96,03;96,84;92,78;2.565.914
05.11.15;92,52;92,78;93,41;91,58;1.351.343
04.11.15;92,73;92,45;93,18;89,74;2.866.718
03.11.15;95,8;93,57;96;91,95;2.516.208
02.11.15;92,73;94,36;94,56;92,71;1.425.532
30.10.15;93,61;93,36;94,03;92,47;1.272.422
29.10.15;94;93,34;94,17;92,65;1.161.212
28.10.15;92,55;92,97;93,51;91,55;1.032.763
27.10.15;93,05;92,38;93,26;92,25;1.129.783
26.10.15;92,84;92,91;93,99;92,39;1.213.819
23.10.15;91,71;93,29;94,46;91,71;3.194.668
22.10.15;87,66;90,35;90,67;86,96;2.392.035
21.10.15;87,92;88;88,56;86,67;1.080.837
20.10.15;87,35;87,28;88;86,37;1.072.542
19.10.15;86,6;87,69;88;86,55;997.830
16.10.15;87,9;86,74;87,9;86,04;1.406.404
15.10.15;87,71;87,01;88,14;86,74;1.390.518
14.10.15;87;86,74;89;86,43;1.812.788
13.10.15;89;88,11;89,04;86,18;2.058.862
12.10.15;88,35;89,25;89,96;88,15;2.087.173
09.10.15;87,4;87,8;88,31;86,68;1.712.496
08.10.15;85,4;86,2;87,33;85,21;1.387.348
07.10.15;83;85,74;87,33;82,74;2.874.372
06.10.15;81,51;82,22;82,98;80,45;1.958.200
05.10.15;79,77;81,17;81,61;78,46;2.142.922
02.10.15;79,33;78,21;79,73;76,12;2.015.689
01.10.15;80,62;78,33;80,99;77,82;1.875.836
30.09.15;79,9;79,22;80,79;78,31;2.011.132
29.09.15;75,03;76,37;78;74,74;2.065.430
28.09.15;78,79;76,59;78,79;75,9;2.588.364
25.09.15;79,43;78,89;79,83;77,9;4.723.003
24.09.15;80,22;75,68;82,21;72,05;10.938.296
23.09.15;79,07;79,79;81,5;76,4;4.126.823
22.09.15;84,41;79,32;84,41;78;4.967.252
21.09.15;83,33;84,4;85,36;81,68;3.586.459
18.09.15;87,7;85,71;87,79;84,52;3.953.859
17.09.15;88,2;88,26;88,55;87,67;1.805.229
16.09.15;88,15;87,42;88,75;86,87;1.937.510
15.09.15;85,87;87,23;87,89;85,48;2.067.981
14.09.15;85,3;85,34;86,38;84,99;1.285.628
11.09.15;86,03;85,53;86,3;85,02;1.758.800
10.09.15;84,89;86,06;87,04;84,54;2.384.076
09.09.15;88,46;85,54;88,88;85,54;2.753.020
08.09.15;82,3;84,04;84,98;82,28;2.903.466
07.09.15;81,05;80,94;81,68;80,43;1.106.397
04.09.15;81,3;80,32;81,87;79,48;2.423.828
03.09.15;80,6;82,16;82,9;80,43;2.333.471
02.09.15;80,26;79,55;81,14;79,49;1.424.644
01.09.15;80,87;80,1;80,87;79,22;2.062.744
31.08.15;82,2;82,22;82,66;81,37;1.325.230
28.08.15;83,37;82,94;83,44;81,77;1.488.219
27.08.15;83,27;82,95;83,72;82,49;2.744.922
26.08.15;80,74;80,62;81,66;78,72;3.100.818
25.08.15;78,52;81,82;83,04;77,81;5.356.570
24.08.15;76,5;76,93;78,69;74,59;6.898.394
21.08.15;79,95;80,13;82,54;79,59;4.067.615
20.08.15;82,73;82;83,66;81,59;3.121.220
19.08.15;85,27;83,87;85,57;83,73;2.044.226
18.08.15;86,31;85,87;86,63;85,62;1.429.892
17.08.15;87,5;86,63;87,87;85,64;2.219.923
14.08.15;86,18;86,15;86,96;85,48;1.802.060
13.08.15;88;86,19;88,35;85,93;2.055.861
12.08.15;87,78;86,09;87,78;85,33;3.850.043
11.08.15;92;89,42;92;89;3.447.847
10.08.15;93,25;93,4;93,44;91,79;1.025.490
07.08.15;91,85;92,88;93,62;91,51;1.357.583
06.08.15;92,9;92,18;93,98;91,86;1.398.120
05.08.15;91;92,97;93,91;91;2.358.677
04.08.15;89,4;90,88;90,97;89,4;2.624.069
03.08.15;91,25;92,06;92,29;90,2;2.202.652
31.07.15;90;91,3;91,47;89,85;3.068.012
30.07.15;89,69;89,86;90,09;88,53;1.764.373
29.07.15;90,87;89,48;91;88,58;2.247.493
28.07.15;89,53;90,18;90,61;89,18;2.185.360
27.07.15;90,69;89,08;91,47;88,77;3.139.869
24.07.15;93,33;91,64;94,05;91,22;2.273.645
23.07.15;96,19;93,69;96,19;93,33;2.282.123
22.07.15;94,32;94,13;94,65;93,01;1.984.416
21.07.15;96,13;95,14;96,71;94,88;1.460.054
20.07.15;95,58;95,61;96,44;95,05;1.588.553
17.07.15;96,64;95,58;96,8;95,28;1.718.430
16.07.15;94,71;95,74;96,66;93,85;2.577.091
15.07.15;94,08;93,55;94,47;93,36;1.970.743
14.07.15;94,73;94,67;94,81;93,29;2.515.058
13.07.15;96,55;94,97;97,52;93,9;4.173.199
10.07.15;96,67;95,2;96,67;94,41;3.102.690
09.07.15;92,82;93,99;95,24;92,51;3.102.574
08.07.15;92;92,09;92,69;90,36;4.832.811
07.07.15;97,23;93,9;97,3;93,51;3.904.588
06.07.15;97;97,26;98,47;97;2.239.469
03.07.15;99,25;98,9;99,86;98,48;1.424.217
02.07.15;102,4;99,2;102,4;98,88;1.445.447
01.07.15;99,53;100,5;101,85;98,76;2.227.877
30.06.15;99;98,18;99,85;97,22;3.594.242
29.06.15;98,2;99,3;100,75;97,51;2.853.136
26.06.15;103;103,5;104,25;102;1.414.401
25.06.15;102;103,7;104,4;101,8;1.679.344
24.06.15;104,25;103,25;104,5;101,6;2.301.626
23.06.15;103,55;104,35;105,45;102,75;2.381.362
22.06.15;100,5;102,3;102,9;100,35;3.414.958
19.06.15;98,33;97,74;99,78;97,34;3.610.880
18.06.15;96,55;97,88;98,17;95,17;2.315.391
17.06.15;98,57;97,01;98,72;96,72;1.665.320
16.06.15;97,42;98,35;98,88;96,57;2.182.298
15.06.15;98,45;98,59;99,28;97,76;1.761.320
12.06.15;100,6;99,92;101,8;98,74;1.918.746
11.06.15;101;101,25;102,65;100,6;1.854.943
10.06.15;98,01;100,8;101,7;97,11;2.960.651
09.06.15;96,86;98,04;98,45;95,43;2.791.489
08.06.15;99,18;97,37;100,15;96,78;2.213.431
05.06.15;99,34;99,59;100,45;98,34;2.573.932
04.06.15;100,95;100,3;101,65;99,01;2.008.434
03.06.15;100,7;101,25;102,95;99,58;2.239.851
02.06.15;101;100,2;101,15;99,06;2.086.954
01.06.15;101;100,75;101,55;99,34;1.477.159
29.05.15;103;100,7;103,1;100,2;2.023.928
28.05.15;104,2;103,05;104,95;102,15;1.704.937
27.05.15;103,5;104,9;105,45;102,7;1.840.832
26.05.15;105,2;103,6;106,55;102,55;2.308.592
22.05.15;105,25;104,8;105,55;104;1.386.501
21.05.15;106;105,35;106,3;103,9;1.625.269
20.05.15;107,45;106,45;107,7;105,8;1.307.453
19.05.15;104,5;107,15;107,65;104,5;2.736.997
18.05.15;102;103,35;103,45;101,05;1.594.978
15.05.15;105,55;102;105,9;101,45;2.600.927
14.05.15;101,5;104,6;104,95;100,05;2.342.047
